Date,Time,Age,Clutch,Test,Nontest,setupH,playbackH,tactileH,hypoxiaH,PropH,SUM of trait values,Indiv,Hcontext,HorNH,AmpR,Rsq,AmpL,Rsq,AverageR2,AverageAmp,Notes,outlier
,,,,,,,,,,0,3,2,3,0,4.185683577,0.38809598,3.212097306,0.087330968,0.237713474,1.72490539,,
,,,,,,,,,,0,3,3,3,0,4.185683577,0.38809598,3.212097306,0.087330968,0.237713474,1.72490539,,
20150721,6:55PM,,203,16,26,0,0,0,16,0,3,1,3,0,2.604943912,0.199024694,1.226770902,0.081315075,0.140169885,0.683470393,,
,,,,,,,,,,0,2,2,3,0,1.337539483,0.139208747,2.363334769,0.186943194,0.163075971,1.26320537,,
,,,,,,,,,,0,3,3,3,0,7.958086486,0.537209235,3.520297598,0.288129271,0.412669253,1.966483426,,
20150721,9:10PM,,204,26,11,0,0,1,25,0,3,1,3,0,4.059350882,0.403761935,3.782192427,0.151762645,0.27776229,2.029977359,,
,,,,,,,,,,0,3,2,3,0,2.752662343,0.234824637,3.169875086,0.344623303,0.28972397,1.729799528,,
,,,,,,,,,,0,3,3,3,0,2.145908146,0.183526597,9.113265752,0.60125978,0.392393188,4.75282947,,
20150721,10:19PM,,197,22,26,9,0,0,22,0,3,1,3,0,4.032377948,0.474177347,5.444235475,0.572584142,0.523380745,2.98380811,,
,,,,,,,,,,0,3,2,3,0,3.493018498,0.256375631,1.806201507,-0.042641279,0.106867176,0.956534342,,
,,,,,,,,,,0,4,3,3,0,3.25987426,0.25816665,2.49930566,0.024231797,0.141199224,1.320252442,,
20150721,11:59PM,,198,42,3,0,0,5,37,0,5,1,3,0,2.186712837,0.094914864,3.051929279,0.202712474,0.148813669,1.600371474,,
,,,,,,,,,,0,5,2,3,0,7.475243566,0.435577095,8.520008643,0.355956045,0.39576657,4.457887607,,
,,,,,,,,,,0,5,3,3,0,7.07474285,0.673400161,11.66072016,0.799122762,0.736261462,6.198490811,,
